Level,LevelStart,LevelEnd,XPForThisLevel
1,0,175,175
2,175,750,575
3,750,1975,1225
4,1975,4075,2100
5,4075,7300,3225
6,7300,11850,4550
7,11850,17925,6075
8,17925,25750,7825
9,25750,35550,9800
10,35550,47500,11950
11,47500,61825,14325
12,61825,78725,16900
13,78725,98400,19675
14,98400,121050,22650
15,121050,146875,25825
16,146875,176075,29200
17,176075,208825,32750
18,208825,245325,36500
19,245325,285775,40450
20,285775,330375,44600
21,330375,379300,48925
22,379300,432750,53450
23,432750,490900,58150
24,490900,553950,63050
25,553950,622075,68125
26,622075,695475,73400
27,695475,774325,78850
28,774325,858825,84500
29,858825,949150,90325
30,949150,1045475,96325
31,1045475,1148000,102525
32,1148000,1256900,108900
33,1256900,1372350,115450
34,1372350,1494550,122200
35,1494550,1623650,129100
36,1623650,1759850,136200
37,1759850,1903325,143475
38,1903325,2054275,150950
39,2054275,2212850,158575
40,2212850,2379250,166400
41,2379250,2553625,174375
42,2553625,2736175,182550
43,2736175,2927075,190900
44,2927075,3126500,199425
45,3126500,3334625,208125
46,3334625,3551625,217000
47,3551625,3777675,226050
48,3777675,4012950,235275
49,4012950,4257625,244675
50,4257625,4511875,254250
51,4511875,4775875,264000
52,4775875,5049800,273925
53,5049800,5333800,284000
54,5333800,5628075,294275
55,5628075,5932800,304725
56,5932800,6248125,315325
57,6248125,6574250,326125
58,6574250,6911325,337075
59,6911325,7259525,348200
60,7259525,7619025,359500
